,0,0
380,110.0,117
381,110.0,117
382,110.0,117
383,110.0,117
384,110.0,117
385,110.0,116
386,110.0,116
387,110.0,116
388,110.0,116
389,110.0,116
390,110.0,116
391,110.0,116
392,110.0,115
393,110.0,124
394,110.0,124
395,110.0,124
396,110.0,116
397,110.0,116
398,110.0,116
399,110.0,116
400,131.0,118
401,131.0,117
402,131.0,118
403,131.0,118
404,131.0,118
405,131.0,118
406,131.0,118
407,131.0,118
408,131.0,118
409,131.0,118
410,131.0,118
411,131.0,118
412,131.0,118
413,131.0,118
414,131.0,118
415,131.0,118
416,131.0,118
417,131.0,118
418,131.0,117
419,131.0,117
420,131.0,117
421,131.0,117
422,131.0,117
423,131.0,117
424,131.0,117
425,131.0,117
426,131.0,117
427,131.0,117
428,131.0,117
429,131.0,117
430,131.0,117
431,131.0,117
432,131.0,117
433,131.0,116
434,131.0,117
435,131.0,117
436,131.0,117
437,131.0,117
438,131.0,117
439,131.0,117
440,131.0,117
441,131.0,117
442,131.0,117
443,131.0,117
444,131.0,117
445,131.0,117
446,131.0,117
447,131.0,118
448,131.0,118
449,131.0,118
450,135.0,122
451,135.0,122
452,135.0,122
453,135.0,122
454,135.0,122
455,135.0,123
456,135.0,123
457,135.0,123
458,135.0,123
459,135.0,123
460,135.0,123
461,135.0,123
462,135.0,123
463,135.0,123
464,135.0,123
465,135.0,123
466,135.0,123
467,135.0,123
468,135.0,123
469,135.0,123
470,135.0,123
471,135.0,122
472,135.0,122
473,135.0,122
474,135.0,121
475,135.0,122
476,135.0,122
477,135.0,123
478,135.0,123
479,135.0,123
480,135.0,124
481,135.0,124
482,135.0,123
483,135.0,122
484,135.0,122
485,135.0,122
486,135.0,122
487,135.0,123
488,135.0,122
489,135.0,123
490,135.0,123
491,135.0,123
492,135.0,123
493,135.0,124
494,135.0,124
495,135.0,122
496,135.0,122
497,135.0,121
498,135.0,119
499,135.0,119
500,105.0,107
501,105.0,107
502,105.0,107
503,105.0,107
504,105.0,107
505,105.0,107
506,105.0,107
507,105.0,107
508,105.0,107
509,105.0,107
510,105.0,107
511,105.0,107
512,105.0,107
513,105.0,107
514,105.0,107
515,105.0,107
516,105.0,107
517,105.0,107
518,105.0,107
519,105.0,107
520,105.0,107
521,105.0,107
522,105.0,107
523,105.0,107
524,105.0,107
525,105.0,107
526,105.0,107
527,105.0,107
528,105.0,107
529,105.0,127
530,105.0,107
531,105.0,107
532,105.0,107
533,105.0,107
534,105.0,107
535,105.0,107
536,105.0,107
537,105.0,107
538,105.0,107
539,105.0,107
540,105.0,106
541,105.0,106
542,105.0,106
543,105.0,106
544,105.0,106
545,105.0,106
546,105.0,106
547,105.0,107
548,105.0,106
549,105.0,106
550,122.0,122
551,122.0,123
552,122.0,123
553,122.0,123
554,122.0,123
555,122.0,123
556,122.0,123
557,122.0,123
558,122.0,123
559,122.0,123
560,122.0,123
561,122.0,122
562,122.0,122
563,122.0,122
564,122.0,121
565,122.0,122
566,122.0,122
567,122.0,122
568,122.0,122
569,122.0,121
570,122.0,121
571,122.0,121
572,122.0,121
573,122.0,121
574,122.0,121
575,122.0,121
576,122.0,121
577,122.0,122
578,122.0,122
579,122.0,122
580,122.0,122
581,122.0,122
582,122.0,121
583,122.0,121
584,122.0,121
585,122.0,120
586,122.0,120
587,122.0,120
588,122.0,120
589,122.0,120
590,122.0,120
591,122.0,120
592,122.0,121
593,122.0,121
594,122.0,121
595,122.0,121
596,122.0,120
597,122.0,120
598,122.0,120
599,122.0,120
600,118.0,118
601,118.0,118
602,118.0,118
603,118.0,118
604,118.0,118
605,118.0,118
606,118.0,118
607,118.0,118
608,118.0,118
609,118.0,118
610,118.0,118
611,118.0,118
612,118.0,118
613,118.0,118
614,118.0,118
615,118.0,120
616,118.0,120
617,118.0,120
618,118.0,120
619,118.0,120
620,118.0,119
621,118.0,119
622,118.0,119
623,118.0,121
624,118.0,121
625,118.0,121
626,118.0,117
627,118.0,119
628,118.0,118
629,118.0,118
630,118.0,118
631,118.0,118
632,118.0,118
633,118.0,117
634,118.0,117
635,118.0,117
636,118.0,117
637,118.0,117
638,118.0,118
639,118.0,118
640,118.0,118
641,118.0,118
642,118.0,119
643,118.0,119
644,118.0,117
645,118.0,117
646,118.0,117
647,118.0,119
