,Category,Value,Value.1,Value.2,Value.3
335,ppg,177541.0,164656.0,65.0,97.0
336,ppg,177567.0,164665.0,65.0,97.0
337,ppg,177591.0,164677.0,65.0,97.0
338,ppg,177616.0,164686.0,65.0,97.0
339,ppg,177619.0,164677.0,65.0,97.0
340,ppg,177605.0,164687.0,65.0,97.0
341,ppg,177593.0,164676.0,65.0,97.0
342,ppg,177578.0,164671.0,65.0,97.0
343,ppg,177554.0,164660.0,65.0,97.0
344,ppg,177545.0,164656.0,65.0,97.0
345,ppg,179112.0,165295.0,65.0,97.0
346,ppg,179090.0,165295.0,65.0,97.0
347,ppg,179046.0,165274.0,65.0,97.0
348,ppg,178944.0,165237.0,65.0,97.0
349,ppg,178814.0,165201.0,65.0,97.0
350,ppg,178669.0,165137.0,65.0,97.0
351,ppg,178512.0,165092.0,65.0,97.0
352,ppg,178340.0,165011.0,65.0,97.0
353,ppg,178170.0,164953.0,65.0,97.0
354,ppg,178001.0,164890.0,65.0,97.0
355,ppg,177851.0,164821.0,65.0,97.0
356,ppg,177717.0,164764.0,65.0,97.0
357,ppg,177587.0,164718.0,65.0,97.0
358,ppg,177495.0,164680.0,65.0,97.0
359,ppg,177414.0,164643.0,65.0,97.0
360,ppg,177349.0,164619.0,65.0,97.0
361,ppg,177312.0,164600.0,65.0,97.0
362,ppg,177282.0,164592.0,65.0,97.0
363,ppg,177294.0,164596.0,65.0,97.0
364,ppg,177298.0,164596.0,65.0,97.0
365,ppg,177312.0,164605.0,65.0,97.0
366,ppg,177334.0,164621.0,65.0,97.0
367,ppg,177368.0,164634.0,65.0,97.0
368,ppg,177412.0,164644.0,65.0,97.0
369,ppg,177472.0,164670.0,65.0,97.0
370,ppg,177540.0,164697.0,65.0,97.0
371,ppg,177611.0,164727.0,65.0,97.0
372,ppg,177674.0,164746.0,65.0,97.0
373,ppg,177748.0,164785.0,65.0,97.0
374,ppg,177774.0,164807.0,65.0,97.0
375,ppg,177825.0,164818.0,65.0,97.0
376,ppg,177859.0,164834.0,65.0,97.0
377,ppg,177886.0,164843.0,65.0,97.0
378,ppg,177890.0,164846.0,65.0,97.0
379,ppg,179708.0,165599.0,65.0,97.0
380,ppg,179729.0,165613.0,65.0,97.0
381,ppg,179773.0,165633.0,65.0,97.0
382,ppg,179789.0,165634.0,65.0,97.0
383,ppg,179781.0,165635.0,65.0,97.0
384,ppg,179706.0,165607.0,65.0,97.0
385,ppg,179611.0,165568.0,65.0,97.0
